names,wkt_geom
Веры Холодной,"LINESTRING(30.7307147 46.4817269, 30.7321803 46.4810882)"
Весенняя,"LINESTRING(30.7169251 46.4475861, 30.7129807 46.4436544)"
Вестерн,"POLYGON((30.7675297 46.4307299, 30.7673331 46.4304698, 30.767504 46.4303067, 30.7677767 46.4304224, 30.7675886 46.4305505, 30.7677908 46.4306361, 30.7675297 46.4307299))"
Весёлая,"LINESTRING(30.70827 46.3590334, 30.7081814 46.3632602)"
Ветеранов,"POLYGON((30.7870309 46.5597016, 30.7904398 46.5600889, 30.7921933 46.5601312, 30.7929902 46.5600395, 30.7941856 46.5595814, 30.7952751 46.5594697, 30.7870309 46.5597016))"
Ветрогонова,"LINESTRING(30.6963055 46.493164, 30.6995997 46.4881304)"
Вечерний Баку,"POLYGON((30.7129351 46.4034609, 30.7129727 46.4033148, 30.7133149 46.4033567, 30.7132772 46.4035029, 30.7129351 46.4034609))"
Виктория,"POLYGON((30.747724 46.4741879, 30.7475619 46.474268, 30.7475436 46.4741613, 30.7476887 46.4741526, 30.747724 46.4741879))"
Вильямса,"LINESTRING(30.73316 46.39015, 30.7235604 46.3914288, 30.723216 46.3911983, 30.7203022 46.3909114, 30.7150137 46.3900946, 30.7135116 46.389722, 30.7050569 46.3885809)"
Винницкая,"LINESTRING(30.624218 46.4719155, 30.6243583 46.4689185)"
Виноградная,"LINESTRING(30.639341 46.4956432, 30.6394419 46.4918546)"
Вице-адмирала Жукова,"LINESTRING(30.7748148 46.5682093, 30.7718764 46.5625451)"
Вишневского,"LINESTRING(30.6950656 46.4303202, 30.7018143 46.427529)"
Вишнёвая,"LINESTRING(30.7684976 46.5656068, 30.7669537 46.5698117)"
Водопроводная,"LINESTRING(30.7293698 46.4584342, 30.7298541 46.4592631, 30.7382746 46.4685241)"
Военный спуск|Военный переулок,"POLYGON((30.7359879 46.486786, 30.737101 46.4877845, 30.7373691 46.491168, 30.7359879 46.486786))"
Вокзальная,"POLYGON((30.6472568 46.4817013, 30.6505546 46.4795805, 30.6520593 46.4788967, 30.6539328 46.4775701, 30.6549098 46.4770658, 30.6472568 46.4817013))"
Волна,"POLYGON((30.8019163 46.5832883, 30.8025356 46.5830814, 30.8027845 46.5834334, 30.8024346 46.5835946, 30.8025973 46.5838249, 30.8023533 46.5839064, 30.8019163 46.5832883))"
Воробьева|Воробьёва,"LINESTRING(30.6959875 46.4960191, 30.6952395 46.4915714, 30.6930018 46.4805197, 30.6916985 46.4795203)"
Вузовский,"POLYGON((30.7269208 46.4116273, 30.7270084 46.4111854, 30.7271387 46.4110231, 30.7273131 46.411062, 30.7274615 46.4114803, 30.7269208 46.4116273))"
Вымпел,"POLYGON((30.7316277 46.4368182, 30.7315788 46.4364119, 30.731777 46.4363923, 30.7318887 46.4367925, 30.7316277 46.4368182))"
Выставочная,"LINESTRING(30.6992937 46.4815169, 30.6933758 46.4819686)"
