names,wkt_geom,type
Дослидное|Дослідне,"POLYGON((30.3932061 46.5989803, 30.3938599 46.5962308, 30.3945879 46.5933661, 30.392262 46.5930912, 30.3925587 46.5915003, 30.3935151 46.5915309, 30.3935929 46.5910723, 30.3934484 46.5906749, 30.3929702 46.5899642, 30.3924002 46.5866355, 30.3933745 46.5857224, 30.3975375 46.5858441, 30.4002794 46.5840795, 30.4019073 46.5842145, 30.4023918 46.5840452, 30.404867 46.5843404, 30.4012804 46.5895083, 30.4007879 46.5914569, 30.4003742 46.5934902, 30.4000632 46.5938291, 30.3992312 46.5961782, 30.398848 46.5977556, 30.398878 46.5991557, 30.3982167 46.5995854, 30.3932061 46.5989803))",village
Дослидное|Дослідне,"POLYGON((32.2526991 46.6651803, 32.2519196 46.663833, 32.2521671 46.6626937, 32.2568386 46.6631712, 32.2563225 46.6655503, 32.2539961 46.6653089, 32.2535356 46.6652736, 32.2526991 46.6651803))",village
Елизаветовка|Єлизаветівка,POINT(30.500677 46.695496),village
Железнодорожный вокзал,"POLYGON((30.7415166 46.4687279, 30.741497 46.4685212, 30.7415442 46.4685191, 30.7415639 46.4687257, 30.7415166 46.4687279))",infrastructure
Заречное|Зарічне,POINT(29.6987075 45.8375254),village
Заречное|Зарічне,"POLYGON((31.917764 46.888735, 31.9171917 46.8919129, 31.9167301 46.8938655, 31.9165495 46.8948547, 31.9163795 46.8960564, 31.9159485 46.8975596, 31.9155911 46.8987089, 31.9150622 46.9004859, 31.9124109 46.9008173, 31.9088883 46.9002653, 31.9082394 46.8988628, 31.9087181 46.8972331, 31.90869 46.8958446, 31.9100104 46.8938545, 31.9121267 46.892965, 31.91311 46.8906997, 31.9142898 46.8883319, 31.9147426 46.8862981, 31.9181427 46.8868559, 31.917764 46.888735))",village
Зелений Гай|Зелёный Гай,"POLYGON((32.240823 46.9482963, 32.2410418 46.9456724, 32.2406987 46.9456018, 32.2363934 46.9450821, 32.2363049 46.9454142, 32.2325958 46.9450115, 32.2325201 46.9455421, 32.2318605 46.9454777, 32.2309488 46.9442829, 32.2295465 46.9441299, 32.2269909 46.94447, 32.2251302 46.9443141, 32.2248343 46.9452201, 32.2238484 46.9451064, 32.2250351 46.9414221, 32.2282517 46.9416564, 32.2289696 46.9408844, 32.2303565 46.9358313, 32.234371 46.9363698, 32.2348158 46.9353297, 32.2354921 46.9350393, 32.2390061 46.9354181, 32.2425668 46.9355323, 32.2459486 46.9354232, 32.2480519 46.9357626, 32.2495053 46.9363259, 32.2499801 46.9366871, 32.2504032 46.9380186, 32.2517805 46.9381797, 32.2514817 46.9391071, 32.2510719 46.9390645, 32.2505839 46.9393653, 32.248529 46.9446307, 32.2535659 46.9454806, 32.2522194 46.9488107, 32.2472897 46.9483836, 32.246599 46.9491281, 32.2469386 46.9515756, 32.2403407 46.9514072, 32.240823 46.9482963))",village
Зелёный Гай|Зелений Гай,POINT(32.4172135 46.8304007),village
Ивановка|Іванівка,POINT(32.096561 46.385651),village
Калиновка|Калинівка,POINT(31.526735 46.922699),village
Калиновка|Калинівка,POINT(31.0355634 46.8905651),village
Каменка|Кам’янка,POINT(30.1110048 46.8004954),village
Каменка|Кам’янка,POINT(30.24193 46.63147),village
